Ancient Astronauts,"November 12, 2014 at 03:45PM",I Came Running,0.778012,downtempo trip hop
Gramatik,"November 12, 2014 at 06:27PM",Orchestrated Incident,0.847258,"turntablism,trip hop,chill-out"
Bonobo,"November 12, 2014 at 06:30PM",Ketto,0.786038,"downtempo,trip hop,ninja,chill-out,nu jazz,acid jazz,electronic,turntablism,big beat"
Passion Pit,"November 12, 2014 at 06:35PM",Sleepyhead,0.938857,"indietronica,synthpop,alternative dance,indie pop,new rave,dance-punk"
Ratatat,"November 12, 2014 at 06:43PM",Wildcat,0.710294,"indietronica,dance-punk,alternative dance,new rave,post rock,synthpop"
Morcheeba,"November 16, 2014 at 06:09PM",Get Along (feat. Pace Won),0.564943,"chill-out,trip hop,downtempo,electronic,bmore,nu jazz,lounge,big beat"
Nina Simone,"November 16, 2014 at 06:12PM",Feeling Good,0.031949,"vocal jazz,jazz blues,cabaret,lounge,jazz christmas,christmas"
Tosca,"November 16, 2014 at 06:15PM",Joe Si Ha,0.408073,"chill-out,downtempo,trip hop,nu jazz,acid jazz,electronic,big beat,ninja,deep house,lounge"
Everything But the Girl,"November 16, 2014 at 06:20PM",Single (Brad Wood Memphis remix),0.604942,"chill-out,electronic,trip hop,new wave pop,downtempo,big beat"
Blackmill,"November 16, 2014 at 06:25PM",Let It Be,0.592205,"chillstep,catstep"
Morcheeba,"November 16, 2014 at 06:36PM",Recipe For Disaster,0.217143,"chill-out,trip hop,downtempo,electronic,bmore,nu jazz,lounge,big beat"
Shawn Lee's Ping Pong Orchestra,"November 18, 2014 at 03:32PM",Kiss the Sky,0.711624,"deep funk,soul christmas"
Josh One,"November 18, 2014 at 03:36PM",Narrow Path,0.689755,deep downtempo fusion
Bonobo,"November 18, 2014 at 03:41PM",Kong,0.697894,"downtempo,trip hop,ninja,chill-out,nu jazz,acid jazz,electronic,turntablism,big beat"
Hooverphonic,"November 18, 2014 at 03:46PM",Mad About You,0.877687,"chill-out,trip hop,downtempo,electronic,dream pop,lounge"
Radio Citizen,"November 18, 2014 at 03:50PM",El Cielo,0.306223,"nu jazz,chill-out,downtempo"
Flunk,"November 18, 2014 at 03:53PM",Morning Star (Parliavox remix),0.51443,"chill-out,trip hop,downtempo,lounge,electronic"
Morcheeba,"November 18, 2014 at 03:58PM",Blue Chair,0.795284,"chill-out,trip hop,downtempo,electronic,bmore,nu jazz,lounge,big beat"
Moby,"November 18, 2014 at 04:19PM",Run On,0.704842,"electronic,big beat"
Morcheeba,"November 21, 2014 at 09:05PM",God Bless and Goodbye,0.849202,"chill-out,trip hop,downtempo,electronic,bmore,nu jazz,lounge,big beat"
RJD2,"November 21, 2014 at 09:11PM",Ghostwriter,0.680714,"turntablism,trip hop,ninja,downtempo,nu jazz,underground hip hop,chill-out,big beat,electronic"
Jem,"November 21, 2014 at 09:16PM",Save Me,0.590728,"lilith,pop rock,new wave pop,synthpop"
3-11 Porter,"November 22, 2014 at 08:40PM",Surround Me With Your Love (Mental Overdrive remix),0.916338,electro jazz
Milky Chance,"November 22, 2014 at 08:47PM",Stolen Dance,0.523822,german pop
Emancipator,"November 22, 2014 at 08:52PM",Anthem,0.520776,"trip hop,downtempo,chill-out,nu jazz,ninja"
Nightmares on Wax,"November 22, 2014 at 08:58PM",Les Nuits,0.386359,"downtempo,trip hop,chill-out,nu jazz,ninja,electronic,acid jazz,big beat,turntablism,intelligent dance music"
