Franz Ferdinand,"October 22, 2014 at 06:40PM",No You Girls,0.802094,"dance-punk,indie rock,rock"
Arctic Monkeys,"October 22, 2014 at 06:44PM",Why'd You Only Call Me When You're High?,0.36768,"sheffield indie,permanent wave,indie rock"
The Black Keys,"October 22, 2014 at 06:47PM",Your Touch,0.767962,"garage rock,punk blues,blues-rock,modern blues,indie rock"
Kasabian,"October 22, 2014 at 06:49PM",Re-Wired,0.80632,"garage rock,madchester,neo-psychedelic,indie rock,rock"
The Raconteurs,"October 22, 2014 at 06:54PM","Steady, as She Goes",0.58863,"garage rock,indie rock,alternative rock,neo-psychedelic"
Arctic Monkeys,"October 22, 2014 at 06:58PM",Who The Fuck Are Arctic Monkeys?,0.889062,"sheffield indie,permanent wave,indie rock"
Ratatat,"October 22, 2014 at 07:05PM",Seventeen Years,0.524705,"indietronica,dance-punk,alternative dance,new rave,post rock,synthpop"
Starfucker,"October 22, 2014 at 07:09PM",Rawnald Gregory Erickson The Second,0.358194,"indietronica,portland indie,chillwave,indie pop,alternative dance,shimmer pop,new rave,synthpop,nu gaze"
The Glitch Mob,"October 22, 2014 at 07:12PM",Fortune Days,0.670473,"glitch hop,chillstep,glitch"
Inf,"October 22, 2014 at 07:18PM","Power Moves, Baby",0.709684,
Ratatat,"October 22, 2014 at 07:21PM",Mandy,0.894521,"indietronica,dance-punk,alternative dance,new rave,post rock,synthpop"
Hyper,"October 22, 2014 at 07:25PM",Cascade,0.85817,"nu skool breaks,breakbeat,big beat,electronic"
Blockhead,"October 22, 2014 at 07:32PM",Insomniac Olympics,0.567704,"ninja,turntablism,downtempo,trip hop,nu jazz,chill-out"
Prefuse 73,"October 22, 2014 at 07:38PM",Storm Returns,0.445406,"intelligent dance music,glitch,wonky,turntablism,ninja,trip hop,downtempo,underground hip hop"
Ratatat,"October 22, 2014 at 07:44PM",Lex,0.767396,"indietronica,dance-punk,alternative dance,new rave,post rock,synthpop"
Adele,"October 22, 2014 at 08:20PM",Make You Feel My Love,0.185694,"pop,dance pop"
Adele,"October 22, 2014 at 08:24PM",Rolling in the Deep,0.791798,"pop,dance pop"
Adele,"October 22, 2014 at 08:28PM",Chasing Pavements,0.362686,"pop,dance pop"
Adele,"October 22, 2014 at 08:32PM",Rumour Has It,0.824577,"pop,dance pop"
Adele,"October 22, 2014 at 08:36PM",Lovesong,0.365484,"pop,dance pop"
Parov Stelar,"October 22, 2014 at 08:46PM",Le Piaf,0.605071,"electro swing,nu jazz,chill-out,downtempo,acid jazz,trip hop,ninja,lounge"
Parov Stelar,"October 22, 2014 at 08:52PM",All Night,0.608413,"electro swing,nu jazz,chill-out,downtempo,acid jazz,trip hop,ninja,lounge"
Parov Stelar,"October 22, 2014 at 08:55PM",Catgroove,0.799819,"electro swing,nu jazz,chill-out,downtempo,acid jazz,trip hop,ninja,lounge"
Parov Stelar,"October 22, 2014 at 08:59PM",Libella Swing,0.73742,"electro swing,nu jazz,chill-out,downtempo,acid jazz,trip hop,ninja,lounge"
Parov Stelar,"October 22, 2014 at 09:12PM",Booty Swing,0.650688,"electro swing,nu jazz,chill-out,downtempo,acid jazz,trip hop,ninja,lounge"
Parov Stelar Trio,"October 23, 2014 at 09:41AM",The Invisible Girl,0.702007,
Parov Stelar,"October 23, 2014 at 09:47AM",The Mojo Radio Gang (Radioversion),0.791982,"electro swing,nu jazz,chill-out,downtempo,acid jazz,trip hop,ninja,lounge"
Kasabian,"October 23, 2014 at 10:37AM",Club Foot,0.951018,"garage rock,madchester,neo-psychedelic,indie rock,rock"
Kasabian,"October 23, 2014 at 10:41AM",Underdog,0.870296,"garage rock,madchester,neo-psychedelic,indie rock,rock"
Ratatat,"October 23, 2014 at 11:23PM",El Pico,0.633314,"indietronica,dance-punk,alternative dance,new rave,post rock,synthpop"
Black Moth Super Rainbow,"October 23, 2014 at 11:32PM",From the See,0.517727,"neo-psychedelic,chillwave,freak folk,indietronica"
Deastro,"October 23, 2014 at 11:33PM",LIGHT POWERED,0.811519,"michigan indie,chillwave,indietronica"
Freddie Joachim,"October 23, 2014 at 11:35PM",My People,0.910552,ambeat
Ratatat,"October 23, 2014 at 11:38PM",Bilar,0.824534,"indietronica,dance-punk,alternative dance,new rave,post rock,synthpop"
Cookin' On 3 Burners,"October 23, 2014 at 11:42PM",Feel Good Inc.,0.88449,"deep funk,funky breaks"
RJD2,"October 23, 2014 at 11:48PM",Get It,0.515531,"turntablism,trip hop,ninja,downtempo,nu jazz,underground hip hop,chill-out,big beat,electronic"
The Glitch Mob,"October 23, 2014 at 11:51PM",A Dream Within a Dream,0.771193,"glitch hop,chillstep,glitch"
Kasabian,"October 23, 2014 at 11:58PM",Empire,0.515306,"garage rock,madchester,neo-psychedelic,indie rock,rock"
Beck,"October 24, 2014 at 12:02AM",Go It Alone,0.386754,"alternative rock,permanent wave,indie christmas,lo-fi,indie rock,anti-folk,folk christmas"
Spoon,"October 24, 2014 at 06:41PM",The Way We Get By,0.656131,"indie rock,lo-fi,alternative rock,indie pop,chamber pop,garage rock,noise pop,neo-psychedelic,dance-punk,indie folk,stomp and holler"
Arctic Monkeys,"October 24, 2014 at 06:44PM",I Wanna Be Yours,0.4039,"sheffield indie,permanent wave,indie rock"
Yeah Yeah Yeahs,"October 24, 2014 at 06:49PM",Heads Will Roll,0.75618,"indie rock,dance-punk,garage rock,indie pop,indietronica,synthpop"
The Bravery,"October 24, 2014 at 06:53PM",Time Won't Let Me Go,0.879971,"dance-punk,indie rock,new rave,garage rock,indietronica,alternative dance"
Arctic Monkeys,"October 24, 2014 at 06:57PM",Arabella,0.559499,"sheffield indie,permanent wave,indie rock"
Patrick Sweany,"October 24, 2014 at 07:01PM",Them Shoes,0.394253,
Kasabian,"October 24, 2014 at 07:08PM",Running Battle,0.904584,"garage rock,madchester,neo-psychedelic,indie rock,rock"
Gorillaz,"October 24, 2014 at 07:12PM",Kids With Guns,0.472085,"electronic,rap rock,alternative rock"
Spoon,"October 24, 2014 at 07:16PM",Got Nuffin,0.878048,"indie rock,lo-fi,alternative rock,indie pop,chamber pop,garage rock,noise pop,neo-psychedelic,dance-punk,indie folk,stomp and holler"
The White Stripes,"October 24, 2014 at 07:20PM",Fell in Love With a Girl,0.976279,"garage rock,punk blues,permanent wave,alternative rock,indie rock,blues-rock"
Arctic Monkeys,"October 24, 2014 at 07:21PM",I Want It All,0.810455,"sheffield indie,permanent wave,indie rock"
Grand National,"October 24, 2014 at 07:29PM",Talk Amongst Yourselves,0.761354,"dance-punk,new rave,alternative dance,indietronica,synthpop"
The Strokes,"October 24, 2014 at 07:34PM",You Only Live Once,0.912822,"garage rock,indie rock,permanent wave"
Morcheeba,"October 27, 2014 at 05:37PM",Easier Said Than Done,0.357713,"chill-out,trip hop,downtempo,electronic,bmore,nu jazz,lounge,big beat"
